title,description,ratings,sentiment,source,date_posted
Not to buy,"I don't want to write review here but i can suggest not to buy this bike, there are so many good bikes than this with less cost.No trained service centres, poor mileage, with hell of issues.I wouldn't recommend this shit bike to no one as it has lot of issues vibrant vibes, low quality of system were  more switches out of its original place also the engine itself is shit, a typical engine disturbance you will face as soon as you switch on the bike, rpm is not in constant as it varies every-time which is dangerous while riding, gear box and gear levers tend to get stuck and is really hard.",1,neg,bikewale,25-05-2018
Bajaj dominar 400 | idiocracy at its best by the beast,"Being a avid traveler and a rider what would you like to have? particularity a good bike with a decent mileage which can take you off roads, to the terrains and places without any hiccups.Talking about hiccups. Here comes the deal breaker the bike bajaj dominar 400 no doubt the cheapest 400cc till date in India and is the worst. Someone said particularly bajaj bikes are not trustworthy i didn't agree to the statement but after my buying experience and riding experience i had a different vision to look after my bike. Now i hate the statement dominate the road because even to dominate the road this bike consumers a hell lot of fuel and gives an average / mileage of 20kmpl which is worst than i can imagine and can accept it coming from the duke 390 but dominar 400 a big no. I wouldn't recommend this shit bike to no one as it has lot of issues including vibrant vibes, low quality plastics, abs and braking issues were brakes when applied more switches out of its original place, low quality tire hugger, also the engine itself is shit which you can notice after 6months of riding a typical engine disturbance you will face as soon as you switch on the bike, rpm is not in constant as it varies everytime which is dangerous while riding, gear box and gear levers tend to get stuck and is really hard.I do not want to complain but this what my experience with the bike i had. Also now coming to the later part of after sales. My service has been done from kanchan bajaj - wagle estate. Not to complain again but the engineers were of no use after i serviced my bike and when i was called to the service center to collect my bike i had to tell them again about the issues that i am facing including the vibrations of the bike then they tried to fixed it but couldn't and the brakes were no more the same as i had to struggle with the braking as well so even that was not being fixed.The answer is a big no if someone is looking for a hyperride like bajaj dominar 400. I would definitely recommend to not go for online reviews instead check with fellow riders or friends who owns bajaj dominar 400 try it out by yourself, test every bit of it and then own any bike that you wish for.",1,neg,bikewale,25-05-2018
If you thinking about to buy dominar the see my review,<p> The name bajaj tell you everything. the engine is not durable and if we talk about the 35 hp and 35 nm then we also see the weight which is around 180kg so power to weight ration is less and we all know that Indian companies use low grade material so i never like bajaj </p><p>And paint and sticker were also of cheap quality the logo of dominar (chrome) is rub very easily</p>,2,neg,bikewale,25-04-2018
The worst bike in the world,<p>Terrible bike.</p><p>All dominars are having engine issue from the first day. </p><p>Facing the same as i am also having bajaj dominar 400 abs</p><p>very harsh behaviour of bajaj showrooms and workshops officers.</p><p>Unprofessional staffs.</p><p>It's better to buy a 3rd hand bike than to purchase a first hand bajaj dominar 400 abs.</p>,1,neg,bikewale,25-04-2018
Turning Radius is disappointing. Also Avenger Cruise disappointing too.,"Had taken a test ride. Turning radius was too bad. Worst than my existing 2008 Avenger. Got a very short test ride from the showroom. Had tried this option as am looking for a new bike for change and upgrading my existing 10 yrs old bike. Also had got test ride for Avenger Cruiser, it was okay. Disappointed with no ABS or No Radial or Tubeless tyres with cruise model. Bajaj needs to rethink for their lineup with the existing models. Cruise with No ABS/Tubeless disappointing. Dominar with less and discomfort with Turning radius.",2,neg,bikewale,25-09-2018
"I feel bad, Buying one","i was having Bajaj 150, 180, 220cc it was good in ride and quality of materials used so i purchased one was a big mistake... wear and tear is more.. also showroom treat bajaj customer very badly... Thought of buying Ninja 300.. But purchased this was a big mistake.
Bajaj has to get work hardly to satisfy Sports bike customers not by showing stunt Advertisements.. But giving Refined and tension free engine.",1,neg,bikewale,25-10-2018
Just muscles are not enough.,"<p>Others have already explained good features. Let me explain the problems that i face.</p><p>One jump in dirty water entire space between tyre and seat gets dirty. Very bad designed mudguard.</p><p>When parked on weak land, it fell on left side, left safety bar got bent, gear clutch got damaged. Once fell on right side, break pedal got bent and right safety bar (size of a plm) got bent by 45 degrees, such a weak, cheap parts! i heard we can get safety bars for 750rs each! compare that shoulder wide steel safety bar of enfield.</p><p>They have designed it for long rides, forget large baggage there is not even place to keep a carry bag. Also it is just impossible to fit a side box. There is zero space below back seat, though it has a key to open!</p><p>Two times my son was almost falling sitting backside, don't know how designers don't have sense that, such a powered bike should have at-least an inch of backrest. Else they should not provide back seat.</p>",3,neg,bikewale,25-04-2018
Instead of buying dominar 400 buy ktm 250..... ,<p>The worse bike i have ever purchased & the worse things is that the bike gets vibrate a lot... Bajaj should work on this because if your buying a 400cc bike n its gets vibrate so it feels like your riding a 150cc bike...So i request u all to think n invest your money in dominar 400..Don't think about money think about the quality.</p>,2,neg,bikewale,25-04-2018
Good with problem,"I purchased a dominar on 14th feb 2018 and ridden about 700 km ,whenever i put my bike on 5th or 6th gear in traffic ,it will ride automatically without any acceleration and accelerator takes time to come to low and i am having heating problem also ,feel a burning sensation after keeping switching off its engine for 3-4 hrs. And rest it's all good.",3,neg,bikewale,25-09-2018
Good ride!,<p>Amazing bike well maintained... Good handling... I like this bike... More over its very fascinating... My friends love my bike very much... Pretty good mileage and maintenance is not much costly... Amazing bike handling is very good and smooth... With marvellous ride... Should try this bike at-least once.</p>,3,neg,bikewale,25-04-2018
Dominar pros and cons,"<p>1. When i went to buy bike they offered me tea and all ..For high price but i negotiate them very well.</p><p>2.Riding dominar is best experience but shock absorber is not comfortable as hero cbz old 2015-16 model.</p><p>3.Look wise bike is awesome , performance of the bike is not so good, brakes are good ,torque is good, seating position is not up to the mark , back seat is not made for second passenger </p><p>4. Servicing is bad</p><p>5.Pros.</p><p> Style and look good, pickup is good,</p><p>cons. Suspension bad, back seat bad,length of the bike is too short for heighted person looks ok ok not good,</p><p>forget about mileage, tyres slippery</p>",3,neg,bikewale,25-04-2018
Satisfied,Not bad it is really comfortable for touring.Mileage of this bike is not bad. Comfort of this bike is also satisfied me. It will also perform like a bull when you cruising on corner. Top speed also better than rc 390.At this price range this is the best bike in my opinion. You should buy this bike if you are a lover of touring.....,3,neg,bikewale,25-06-2018
Awesome Design,Bajaj Dominar 400 is very strong machine but only this bike mistake means very vibration engine not comfort only this point negative and this price tag very low and many feature and mileage better. This bike look is very sexy bajaj dominar performance better than other this price tag and bajaj servicing is good.,3,neg,bikewale,25-02-2019
dominar 400 the bike you can buy,"<p>Buying experience- its. Nice 400 cc bike available in market with good price tag.</p><p>Riding experience-riding experience in dominar 400 is not bad..But not too good..I feel the abs is not so active and suspension could have been better and more improved</p><p>Details about the performance and looks-performance its good..But duke 390 is better </p><p>Looks of dominar 400 is great but it could have been better if bajaj company could have given the engine temperature meter which is available in classic royal enfield and dukes</p><p>Servicing and maintenance- as it is bajaj its servicing and maintenance is much easier than dukes and i am quiet satisfied about its maintenance cost.</p><p>Pros and cons-engine temperature meter is missing,break is not so active as in dukes,</p><p>Its has good looks and strong body...Best bike under good price range and i feel its its value for money bike.</p>",3,neg,bikewale,25-04-2018
Feel with performance ,"<p>Dominor 400 is monster bike ,when you ride this is like you dominate other with this bike , you feel like strong ,fast, so comfort , its fuel consumption is high but you know 400 cc bike ,so that we say over all packet of hunk .So don't think when you love bike riding , just go and buy this and go for long ride and make your own journey </p>",3,neg,bikewale,25-04-2018
Decent bike.. Could have been much better!!,"Buying experience was not good. I was told that after booking, i would get my bike in 10 days.. It almost took a month for my bike to arrive... Plus they tried to sell me a bike which was lying around in their showroom from the day i booked my bike.. So why the wait? On the highways, i find this bike powerful as well as comfortable.. No complaints.. But in the city traffic, this bike is no fun.. Too much engine braking results in frequent down shifting.. Once you release the throttle, there is a huge drag which forces you to down shift.. The bike just doesn't roll.. I haven't faced heating issues though.. Although the vibrations once you cross 4k rpm are very annoying.. Actually more than the vibrations, its the noise caused by vibrations which annoys me more.. Also i am facing power lag issues.. Don't know if it's the ecu or fi problem.. The service centre can't find the resolution.. Hence actually they say there is no issue with the bike.. They don't even have the guts to say that they don't have a solution to it.. Pissed off with them..Looks are awesome.. No doubt about that.. One of the major reasons why i bought the bike.. The other points in the bike's favour are price point and abs.. I haven't faced any major expenses on maintenance for my bike till now.. Just regular servicing costs around 1500 as paid servicing is yet to start.. I am getting a mileage of around 26-27 in city.. To summarise, i am not happy with the bike and wouldn't recommend the bike to anyone.. Pros: 1. Stunning looks 2. Good performance on the highways 3. Good pricing Cons:1. Too much engine braking.. Driving in the city traffic is a pain 2. Lot of vibrations near the tank after 4k rpm 3. Power lag issues.",3,neg,bikewale,25-04-2018
Honest review dominor 400,"<p>Bike look good , but many quality issues started after few kms crossed, e.G. With in 2000 km disk scratches , vibrating from plastics , service not up to</p><p>mark, not experienced service technicians.. Apart from that bike satisfy your</p><p>need . But don't expect mileage it will be 20km. And throttle power don't be expect till first service completion .. Abs working good</p>",3,neg,bikewale,25-04-2018
Not worthy for 2 lakhs,"Cons: 1. May be most of them in the reviews mentioned that good bike! but when you go for a long ride(150km) focus on the fuel level display it wont update properly, it will update with correct bars when you do key off and key  on else it wont update, i faced this issue.2. Some times while going fast if you apply back brake there will be small stuck sound(may be not in all bikes).Pro:You never feel back pain with this handle.Dual abs is an advantage.There are no proper technicians/service center in the market for dominar. It could be better if they can add gear number on the display.Horn sound is some what irritating for this bike.",3,neg,bikewale,25-05-2018
Layman's review,"<p>Before going into depth i would like to impart few points about me so that people who are in a position similar to me can get best of my review.</p><p>I am a common man and not a bike geek like who get into the depth of thrust, power etc.. I use my bike for day to day city rides, twice a month for long rides of around 450 km. My height is around 171 cm and weight is 70 kg (this is important while you handle 180 kilos of machine).</p><p>1. Buying experience.</p><p>Showroom people are friendly and they gave bike for test ride and explained its features. However this was their first set of bike since its new launch they are not aware about minute details.</p><p>2. Riding and ownership experience.</p><p>Before going into depth i would like to impart few points about me so that people who are in a position similar to me can get best of my review.</p><p>I am a common man and not a bike geek like who get into the depth of thrust, power etc.. I use my bike for day to day city rides, twice a month for long rides of around 450 km. My height is around 171 cm and weight is 70 kg (this is important while you handle 180 kilos of machine).</p><p> that’s about me. Lets get straight into review with two categories, negative and positive.</p><p>Negatives:-</p><p>Like i said i am a layman and i don’t even know that these bikes don’t have middle stand and kick rod to start. After careful reviews, i decided to buy then realised in showroom that these are missing however i went ahead and bought due to super positive reviews. I have to mention them here because</p><p>1)	design & quality of side stand provided is ultra poor. Some times i doubt that bike may collapse. It’s a poor design because even 120 kilos platina has same diameter stand. Quality is poor because it started getting rust immediately after three months.</p><p>2)	i have received broken battery with new bike. One fine day i tried to start my bike but couldn’t, then immediately called service centre. They verified and confirmed that battery is broken. They go on and mentioned that they can’t be responsible for battery and tyres according to their nature. I fought with them that how can my battery is broken after a run of hardly 500 km. Finally they convinced and mentioned that it has to be replaced, which takes a minimum of 21 days. Again i managed to push them to delivery in five days.</p><p>3)	i started getting strange chain noise from a week of sale. When i enquired with service centre they mentioned that chain lubricant must be applied for each and every 500 km. I told them i haven’t even rode 200 km then how come noise is coming. Finally i understood that it’s a design flaw and you must apply chain lubricant for every 150 km. So before going for a ride of more than 150 km keep a bottle of chain lubricant in your bag.</p><p>Above points were till my first service experience. Then during the 3rd month of my ownership, one fine day i found a pool of oil around my bike. I called service centre immediately. They again appeared and confirmed that bike's back shock absorber is damaged and it is a manufacturing defect however i can ride my bike till i get replacement by company which may take another 21 days but be careful while driving. Limit speed to 50 kmph. I got replacement after 21 days along with back pain. ? .</p><p>There is no hook facility to hang bags and you can’t put one as well. No options for that. So you must carry your helmet wherever you go. No shopping if you don’t have back pack.</p><p>Another flaw with bike is handling. This is very very important and valid point. Its very hard to handle in normal city traffics and curves. Trust me my i20’s turning radius is far better than dominar. I would have fallen badly with my kid if i am not extra careful. So be aware. Handling of this beast is disaster trust me.</p><p>There is something terribly wrong with gear ration of bike. Even after riding 4000 km i am not able to understand how they work and bike get stops very often under slow speeds. I found a fuel issue with a speed of 50 km, accelerator is not working then. </p><p>Positives.:-</p><p>Speed speed speed. I rode more than 140 kmph but no vibrations at all. Excellent pickup and great speed. Even at that speed you can feel very confident. </p><p>Brakes ( i have abs version). Bike just stand idle on wheels whenever you want them. Brakes work like heaven. So you can have best control of the bike at any speed.</p><p>Head light, i don’t see much advantage in it but i feel the difference. When you have better while led while all other struggling with yellow lamp lights.</p>",3,neg,bikewale,25-04-2018
Ownership review 1 year 50-70 kms of daily commute,"Bought in october 2017, first generation. Was very excited about it and still is, but bajaj is bajaj after all. Considering the price it off-course is a value for money proposition. But ride and paint quality could have been better. It's been a year i have faced the issues with bike: Cons 1.) suspensions are too hard for Indian roads, roads in delhi are good but an unexpected pothole is sufficient to shock your kidneys.2.) power lag- despite of using all the recommended procedures. Had to switch to motul engine oil, which made a slight decrease in engine buzz onto the handle bars. But sometimes feels like a 2-3k capacity motorcycle. I don't know how a r15 guy manage to pull off the bike faster than me at the signals despite of using the accelerator at the fullest.3.) chain lubrication is required very frequently or else you will start feeling the difference within 300 kms.  4.) gear thud is annoying.  Pros 
 1.) value for money for a 400 cc2.) build quality is solid. Never experienced any loose parts despite of being plastic heavily utilized on dominar. 3.) feature packed.",3,neg,bikewale,25-11-2018
Engine heat up,"I have buyed the new dominar 400 2019 variant. I would like to share my views about the riding experience - the performance is no doubt an excellent one but the heating of engine is a serious concern. I bought my bike 9 days ago. And today when i started from my home to office the engine caught fire and all the wired cables got burnt. It's all smoke and heat coming out from the bike. I hardly travelled 5 kms and the engine got so heated up that it caught fire, though the bike was standing for whole night so it's no chance for the engine to be warm before hand. Too bad for a riding experience, not expected from such a brand new bike.I finally called the tow truck to take the bike to the workshop.",1,neg,bikewale,22-04-2019
Amazing ride quality,The riding experience on this bike is sublime. It ruins you in a way that other indian bike feel like a drag. You need to feel the power. I have travelled at a constant speed of over 120 on this bike for an hour. The ride is smooth. It has power like sports bike. It can also cruise. It becomes a wonderful bike for people who are tall. Would not really recommend you to buy it if you are less than 5 8 in height.,5,pos,bikewale,21-04-2019
Beast with intense roar,"Had an amazing time riding this sports cruiser, the best thing about it was the sound of the stock exhaust, it was superb experience on the whole. Another appealing thing of this bike was it head mask and its tail light. The led placement in the front light gives it a beast look and it's meter on tank gives it a very elegant look.",5,pos,bikewale,11-04-2019
A complete package ,Awesome looking bike new model is best bike for daily commute the new mirrors are attention seeking. Rims are too good as compared before which were golden and the color combination is also too good.  Power too is improved too much. It is just a complete package at an affordable price. I own a classic 350 but i am thinking forward too own this bike sson.,5,pos,bikewale,25-03-2019
Unbelievable performance,"It's very good and performance also good but mileage is less than 20,but look is awesome it is cheaper when comparing to other vehicle like ktm, yamaha,suzuki,royal enfield it is better than all.It has abs( advance braking system) so less chance to feel down . It's not just a bike . It's a superbike.",5,pos,bikewale,25-03-2019
Dominar -  your own devil,"Once you sit on the bike, you feel as if you have command over the roads, it’s that nimble, easy to manoeuvre and provides great front end feel. The more you ride it the more refined the engine gets, and after 4500 kms it’s smooth as butter, and believe me you, 35 horses combined with 35 nm of torque is enough to never let you get bored of the bike. Overtaking is fun and thrilling, and brakes are reassuring. For this price you won’t find anything better in any market, at night the dark matte black bike lets you believe you are batman, so put in your cape and ride through the darkness.",5,pos,bikewale,25-03-2019
Tour,"Its awesome bike for touring, i have tour from pune Maharashtra to Assam guwahati. Total distance 2700 km completed in 5 days. Very comfortable. Fuel efficiency good, sitting position good,. Riding experience  excellent, Very good looking like king. Low cost maintenance.Reliability is very good.5/4 **",5,pos,bikewale,25-12-2018
Stunning new 6 month old dominar ,"Pretty awesome bike. Abs works like charm. Slipper clutch is added benefits and makes ride smooth. Its the best sports cruiser you can have. For city, its mid range power will help you just sail through traffic easily. Double seat is never a problem, it doesn't affect the power of your bike. It makes awesome sound especially when you rev in the mid range.",5,pos,bikewale,18-04-2019
New diamond cut alloy wheels ,Dominar 400 pretty good in look as well &  there 400 cc powerful engine with air cooled system technology. New green black colour with diamond cut alloy wheels. An all purpose bike. Excellent grip in highways. You will love in ghat sections. Led headlight is head turner. Maintenance cost is economical.,5,pos,bikewale,04-04-2019
The rider 10,"As bajaj has done a wonderful job and it looks naked in dominar 400, my buying experience was very good. The service staff were helpful, they gave me every needed information i wanted and also what i even didn't knew.I almost done about 12000km and still i'm in no mood to discontinue. The riding is so smooth that i almost forget my other issues (that can be a con in other way).I would give dominar 4 out of 5 in looks but, the performance really very good. You can really count on dominar if you really need a buddy.As dominar is an indian bike and obviously we are in india the spare parts are easily available and is not very expensive, the service cost is also not high as ktm bikes but yeah you will have to find a good mechanic for your bike as many mechanics didn't knew about many things which are unique in dominar.The dual channel abs provides a very safe ride, dominar feels very grippy on the roads, and also the heating issues are not felt because of the liquid cooled engine, you will hardly feel the radiator. The vibrations are some kind of issue but according to me i don't have any problem with a bit of vibrations.",5,pos,bikewale,28-03-2019
Bajaj dominar - all rounder and value for money,"The bike is simply great. Unbeatable in value for money.1. It was an awesome purchase and terrific value for money with all the latest features and specifications.2. The riding experience is amazing as the riding position is perfect for long rides. But the seat is a little hard.3. The looks and performance are excellent.4. Servicing and maintenance are easy on our wallets.5.Pros: looks, performance, specs, riding experience, value for money.Cons: hard seat n very little vibes.",5,pos,bikewale,25-03-2019
Hyper review,"Nice bike with powerful engine, performance is good. Excellent bike under 2 lakhs. Compare to apache 310 dominar is better. Gives nice punch (pull) when throttle is given, we can blind opposite rider with high beam. Bajaj should fix the vibration issue. Pros: performance, light, build quality. Cons: vibration.",4,pos,bikewale,25-03-2019
Too good ,"It's such a nice bike under 2 lakh but main point is the bajaj dominar 400 is most superior than other bikes as you can see the other companies as like re, kawasaki , and other brands are providing the different issues for the different qualities. Compromising the similarities to this bike i mean dominar is awesome but mileage consumption is too poor but i don't have any problem.",5,pos,bikewale,25-03-2019
Charge the road with dominar 400. ,"I got bajaj dominar 400 on my 22nd birthday from abj bajaj , godda. The reason is that it's the best bike under 1.7 lac  with a 373.3cc, single-cylinder, fi engine that produces 34.5 hp of power and 35 nm of torque. The engine comes with a 6-speed gearbox. The dominar 400 is offered with dual channel abs. Bajaj dominar 400 is very great bike with sporty looks.It having following features :Bajaj dominar 400 mileage Mileage : 26-30 km/lTop speed : 148 km/hr Engine cc : 373.3cc, single-cylinder 2. Bajaj dominar 400 specifications Dimension Length (in mm)2156Width (in mm)813 Height (in mm)1112 Wheelbase (in mm) (distance between middle of front and rear wheel)1453 Ground clearance (in mm) (height of vehicle body from ground)157 Height of seat (in mm)Na Kerb weight (kgs)182 kgs Pros. 1. Excellent grip on highways. 2. Braking system is a plus point. 3. Ride at 143kmph  and the bike won't shiver. 4. Liquid cooled engine for long tours. 5. Headlamps are very powerful. It can throw it's light up to 1.5km on a straight road. 6. Very strong built. 7. Gears are smooth. Cons. 1. Engine gets heated on city roads. 2. City ride can be a pain in the ass on this bike. 3. Rear seat is an issue as it is very bumpy. 4. Mileage is less as compared to its rivals. Overall it's a good bike. I love it cruising around highways. I ride the bike 600kms in a week the only issue is the city ride and mileage. I would give 4 stars to the bike.",4,pos,bikewale,25-03-2019
Value for mine,"1. Buying experience Ans: i purchased bike from kalyani bajaj yelahanka bangalore karnataka. They have put staff untrained, they were incapable of explaining a single point of bike . After struggling for 15 min they gave me product catalog and told me please go through that you will find your answer. The next shock is that when i booked the bike after paying 5000 and they told please come tomorrow and pay full amount and take the bike , in front of everybody i did imps for the remaining amount and it took 45 min to confirm me that the amount is credited and you can take the bike .2. Riding experience Answer: there are various factors which is responsible for comfortable riding in which i will explain some if the point here .A. Riding posture- by looking at the bike we can see the bike is meant for touring and some what commuting ( since it is very high power few people prefer to commute on this again mileage is factor )B. 373 cc liquid cooled engine gives you a very good power and abs give you a good control on that power .C. Looks - is stunning , great led headlamps Led indicators sharp detailing on paint job .D. Performance- i am not adding the specifications that is already on bikewale.Com i will just explain what we are getting on this bike : 373 cc engine which is borrowed from ktm gives you stunning pickup as well as torque. Service and maintenance: as this is bajaj bike so service cost is lower than any of the bike in this category and the service period is whooping 5k km but you have to ve care full for engine oil topup ans chain lubing .Paid service generally cost you around 25k to 3k if minor part change is there Pros: value for money for every bit build for indian road , you can literally take this bike anywhere ( i did some long tour including adventures)Large wheel base ans disk for effective braking Dual instrument cluster  cons: no abs switch no fuel tap ab bit heavy (182 kgs ).",4,pos,bikewale,25-03-2019
Good bike for touring ,I love this bike because dominar 400 is a good touring bike in 400cc segment it is a value for money bike and i feel good satisfaction with this bike because i am a short boy but i can easily control this bike. The dominar 400 suitable for any body language. If you buy the bike form a good showroom you will get best offers.,5,pos,bikewale,25-03-2019
Its a beast on the road to dominate others bikes,"I'm traveled more than  14000 kms in 5 months, with my whole experience in city, highways, off roads, ghat roads, i never feel any kind of difficulty. Only the things is service centers in hyderabad, in some service center engineers are not trained to do service for this bike. Maintenance cost till my bike is ""zero""....",5,pos,bikewale,25-02-2019
The actual performance motorcycle India deserves.,"It's a great motorcycle from the bajaj stable. I can go on boasting about its looks, performance, comfort, etc. But most importantly what bajaj has given us is a vfm product which can crunch miles like a morning breakfast as well as tidy up those city commutes.Starting on with the appearance, it's a looker. Everyone out there will surely give a glance at it, even if it's a small one, just for the front approach. It's big and those fang like led drls are amazing and does the task efficiently. The side profile too is big. It has got that superbike-esque feeling even when one is astride.The performance is amazing, though not like the duke 390 but only tad less than it due to the dominar's sheer weight. The torque is quite punchy and picks up the revs quickly and in no time one might be doing triple digits. Gearbox is fine but shifting to 1st from n makes that loud inevitable clunk sound, from then on its a breeze. Due to the weight, straight line stability is brilliant, but fuel efficiency takes a hit giving around 32 in highways and 27 in cities if ridden sedately. The exhaust note has got a throaty pinch to it. Riding position is very relaxed, with the raised handlebars and slight rear set foot pegs. One can go for long trips without any hassles. Pillion comfort is also good, if not best. Cornering is not a problem, but considering the weight and the motorcycle geometry, it's not meant for it. It's a sports cruiser, the sweet spot being 120-25, though it can do 150+. Features wise it is loaded with full digital console(dual), dual channel-abs, slipper clutch, those beautiful led headlamps(usp), liquid cooling, fuel injection, etc and all under 1.9 lakhs on road(guwahati). The parts are cheap too, as it is bajaj. Normal servicing would cost under 1.5k. On the negative side, there are not many but important ones like the clunky 1st gear and weird crashing sounds are heard towards the rear end of the motorcycle while riding over potholes or bad patches of roads, might be a bajaj thing. But overall it's a vfm sports cruiser given by bajaj meant to rule the highways, subtracting the quality niggles. Should you buy one, yes definitely.",4,pos,bikewale,25-02-2019
