,review,aspect_terms,sentiment_score,sentiment_category
39,and  as  users  have  been  using  it  more  they  are  dropping  our  older  technologies,users technologies,0.1,positive
40,for  Business  and  Teams  and,business teams,0.0,neutral
41,switching  to  Webex  Meetings,meetings,0.0,neutral
42,for  all  their  conferencing  needs.,needs,0.0,neutral
43,Webex is #1 in my book!.,book,0.0,neutral
44,I  started  using  the  personal  one,,0.0,neutral
45,"when  my  company ""wasn t"",  interested",company,0.25,positive
46,because  of  the  pricing.,pricing,0.0,neutral
47,"Since  we  negotiated  our  new  maintenance  contracts,  we  were  able  to  slip  some  money",contracts money,0.318,positive
48,just  begun  implementing  it  internally,,0.0,neutral
49,with  our  organization.,organization,0.0,neutral
50,using  on-prem  Skype,prem,0.0,neutral
51,but  we  received  too  many  complaints,complaints,0.1,positive
52,and  not  being  able  to,,-0.25,negative
53,and  championed  it  for  purchase  by  the  company.,purchase company,0.0,neutral
54,Cisco WebEx: my go-to collaboration tool when I can't always be on the go.,tool go,0.0,neutral
55,across  our  entire  organization.,organization,0.0,neutral
56,"It  helps  us  to  collaborate  not  only  internally  but  externally  with  employees,  customers,  and  vendors.",employees customers vendors,0.0,neutral
57,"from  having  to  travel  to ""customer s"",  locations,  as  well",travel s locations,0.0,neutral
58,as  to  our  remote  sites.,sites,-0.1,negative
59,with  their  video  endpoint,endpoint,0.0,neutral
60,devices  has  greatly  improved,devices,0.8,positive
61,conferencing  capabilities.,capabilities,0.0,neutral
62,Cisco Webex Meetings Review.,,0.0,neutral
63,This  application  is  being  used  by  the  entire  organization,application organization,0.0,neutral
64,it  is  a  very  useful  tool,tool,0.3,positive
65,in  terms  of  communication,terms communication,0.0,neutral
66,and  even  more  in  these  times  of  pandemic  that  social,times pandemic,0.033,positive
67,distancing  is  necessary.,,0.0,neutral
68,"that  I  am,  problems  are  addressed  about  equipment  failures,",problems equipment failures,-0.317,negative
69,"in  conjunction  with  other  areas,",conjunction areas,0.0,neutral
70,with  the  Cisco  supplier.,supplier,0.0,neutral
71,Cisco Webex providing a solid meeting foundation for the enterprise..  Cisco  Web,foundation enterprise web,0.0,neutral
72,is  used  across  our  company  to  drive  all,company,0.0,neutral
73,customer  and  internal  meetings.,customer meetings,0.0,neutral
74,We  utilize  the  service,service,0.0,neutral
75,with  our  existing  video  infrastructure,infrastructure,0.0,neutral
76,to  enhance  collaboration,collaboration,0.0,neutral
77,and  drive  productivity.,productivity,0.0,neutral
78,It  provides  the  company,company,0.0,neutral
79,that  is  accessible  from  a  PC  and,pc,0.375,positive
80,providing  a  wide  range  of  flexibility  in  joining  meetings  for,range flexibility meetings,-0.1,negative
81,our  disperse  workforce.,workforce,0.0,neutral
82,Webex Meetings for a company of 60.,meetings company,0.0,neutral
83,Our  company  is  using  Web,company web,0.0,neutral
84,as  our  video  conferencing  service.,video service,0.0,neutral
85,We  have  moved  everyone,,0.0,neutral
86,in  our  company  to  remote  work,company work,-0.1,negative
87,during  this  time  of  COVID-19,time covid-19,0.0,neutral
88,"even  more  than  before  by  using  personal  rooms,  teams,  and  all  staff  video",rooms teams video,0.0,neutral
89,We  tend  to  run  into  bandwidth  issues,bandwidth issues,0.0,neutral
90,when  we  have  all  60  employees,employees,0.0,neutral
91,"but  when  it  is  a  smaller  group,  it  seems  to",group,-0.25,negative
92,is  the  executive  assistant,assistant,0.0,neutral
93,a  lot  of  meetings  for  others,lot meetings others,-0.125,negative
94,that  if  I  schedule,,0.0,neutral
95,"the  attendees  host,",attendees host,0.0,neutral
96,has  caused  quite  a  bit  of  frustration  and  scrambling,frustration,0.0,neutral
97,to  get  a  new  dial-in  number,dial number,0.136,positive
98,"Overall,  Webex  Meetings  does  what  we  need  it  to  do.",meetings,0.0,neutral
99,My Cisco Webex Meetings Review.,,0.0,neutral
100,the  whole  organization,organization,0.2,positive
101,"anywhere  i.e.,  at  the  office  or  at  home",office home,0.0,neutral
102,"without  any  special  hardware,  we  can  join  from  a  laptop  or  mobile  devices.",hardware laptop devices,0.357,positive
103,Why use Webex Meetings?.,meetings,0.0,neutral
104,We  use  Webex  for  internal  and  external  video  conferencing,conferencing,0.0,neutral
105,for  our  whole  organization.,organization,0.2,positive
106,It  alleviates  connections  with  internal  and  external  clients.,connections clients,0.0,neutral
107,We  use  Webex  to  hold  digital  meetings.,meetings,0.0,neutral
108,and  the  ability  to,ability,0.0,neutral
109,while  using  audio/video  makes  it  feel  like,video,0.0,neutral
110,so  many  features  it,features,0.5,positive
111,is  hard  to  pick  just  one,,-0.292,negative
112,but  this  is  definitely,,0.0,neutral
113,used  for  any  size  organization.,size organization,0.0,neutral
114,Great journey with Cisco Webex Meetings Review.,journey,0.8,positive
115,for  our  executives  and  department  supervisors.,executives supervisors,0.0,neutral
116,It  allows  them  to  contact,contact,0.0,neutral
117,Webex  Meetings  gives  them  more  opportunities,meetings opportunities,0.0,neutral
118,that  our  company  is  really  modern.,company,0.2,positive
119,devices  and  systems,devices systems,0.0,neutral
120,our  users  and  clients  are  able  to  join  meetings  in  many  ways,users clients meetings ways,0.5,positive
121,and  many  situations.,situations,0.5,positive
122,I  started  using  Webex  1  month,,0.0,neutral
123,"during  this  lockdown,  we  can  easily  organise  our  office",lockdown office,0.433,positive
124,and  can  easily  communicate,,0.433,positive
125,We  use  this  software,software,0.0,neutral
126,to  do  our  personal  meetings.,meetings,0.0,neutral
127,Honest Opinion About Cisco Webex Meetings.,opinion meetings,0.6,positive
128,has  made  such  a  huge  problem,problem,0.4,positive
129,"in  our  society,  and  that  it  has  damaged  education",society education,0.0,neutral
130,to  solve  those  problems.,problems,0.0,neutral
131,And  our  company  decided  to  use,company,0.0,neutral
132,for  almost  all  of  our  classes.,classes,0.0,neutral
133,our  students  said  that  Webex  is  such,students,0.0,neutral
134,and  is  able  to  solve  their  communication,communication,0.5,positive
135,during  this  pandemic  situation.,pandemic situation,0.0,neutral
136,"In  conclusion,  almost  all  of  our  staff",conclusion staff,0.0,neutral
137,and  students  use  this  app,students app,0.0,neutral
138,and  they  do  love  it.,love,0.5,positive
139,My Cisco WebEx Review.,review,0.0,neutral
140,have  been  using  Cisco,,0.0,neutral
141,across  the  organization,organization,0.0,neutral
142,for  daily  meetings  with  internal  departments  and  clients.,meetings departments clients,0.0,neutral
143,Amazing experience using  Cisco Webex Meetings.,experience meetings,0.6,positive
144,conferences  &  screen,conferences screen,0.0,neutral
145,"Good  collaboration  and  participants,  meetings  made  easy",collaboration participants meetings,0.567,positive
146,",  automatically  added  to  the  calender.",calender,0.0,neutral
147,I  can  use  a  whiteboard  to  showcase,whiteboard showcase,0.0,neutral
148,I  never  had  any  issues,issues,0.0,neutral
149,with  this  tool--like  having  no  advertisements  between  the  meetings.,tool advertisements meetings,0.0,neutral
150,"for  our  customers,  meeting  with  vendors/customers  outside",customers vendors customers,0.0,neutral
151,"the  company/country,  and  for  training.",country training,0.0,neutral
152,Satisfied Webex user.,user,0.5,positive
153,using  it  as  the  meeting,meeting,0.0,neutral
154,for  the  security  reasons.,reasons,0.0,neutral
155,Cisco Webex Meetings.,meetings,0.0,neutral
156,is  being  used  to  bring  together,,0.0,neutral
157,employees  located  in  different  cities,employees cities,0.0,neutral
158,for  face-to-face  meetings.,face,0.0,neutral
159,We  are  also  using  Webex  for  customer,customer,0.0,neutral
160,during  the  time  of  social  distancing.,time distancing,0.033,positive
161,Webex Meetings is very easy to use.,meetings,0.433,positive
162,Webex  Meetings  internally  and  externally.,meetings,0.0,neutral
163,via  Webex  Meetings.,meetings,0.0,neutral
164,Best product for online meetings.,product meetings,0.7,positive
165,"At  present,  we  have  an  unprecedented  increase  in",increase,0.3,positive
166,in  our  organization,organization,0.0,neutral
167,due  to  circumstances  resulting  from  COVID-19,circumstances covid-19,-0.125,negative
168,(Coronavirus  disease).,disease,0.0,neutral
169,"meet,  communicate,  and  collaborate  from  home",home,0.0,neutral
170,and  other  remote  locations.,locations,-0.1,negative
171,Webex  is  a  one-stop-shop  for  meetings.,shop meetings,0.0,neutral
172,Webex  is  a  single  tool,tool,-0.071,negative
173,to  handle  all  meetings.,meetings,0.0,neutral
174,This  helps  us  devote  more  time  to  taking  care  of  our  core  business.,care business,0.0,neutral
175,all  the  time  between  courthouses  and  departments.,courthouses departments,0.0,neutral
176,Works  for  general  town  hall,works town,0.05,positive
177,meetings  and  off-site,meetings site,0.0,neutral
178,the  whole  organisation,organisation,0.2,positive
179,with  our  customers.,customers,0.0,neutral
180,"throughout  the  organization,  and",organization,0.0,neutral
181,it  is  a  great  collaboration  tool  for  teams.,collaboration tool teams,0.8,positive
182,Cuts  down  on  travel,cuts travel,0.0,neutral
183,with  the  current  COVID-19  issues.,issues,0.0,neutral
184,Cisco Webex Meetings Review.,,0.0,neutral
185,Webex  Meetings  meets,meetings,0.0,neutral
186,the  demand  for  remote  troubleshooting,demand troubleshooting,-0.1,negative
187,to  control  other  workstations.,control,0.0,neutral
188,the  connection  is  secured  and,connection,0.4,positive
189,its  integration  with,integration,0.0,neutral
190,"But  for  me,  the  greatest  benefit  is  that  I  can  use  my  phone",benefit phone,0.8,positive
191,"""There s"",  also  an  app",app,0.0,neutral
192,"version  of  Webex,  which",version,0.0,neutral
193,"when ""I m"",  on-the-go/",go/,0.0,neutral
194,to  have  a  screenshot,screenshot,0.0,neutral
195,with  great  resolution,resolution,0.8,positive
196,"because  recording  is  dependent  on  my  internet  connection,",recording connection,0.0,neutral
197,Cisco Webex Meetings as the Core to Enterprise Collaboration.,meetings core collaboration,0.0,neutral
198,is  being  used  in  our  company,company,0.0,neutral
199,as  the  core  infrastructure  for  collaboration.,infrastructure collaboration,0.0,neutral
200,The  scope  of  the  deployment  is  global,scope deployment,0.0,neutral
201,"with  about  15,000  users.",users,0.0,neutral
202,to  conduct  internal  and  external  meetings.,meetings,0.0,neutral
203,It  is  being  used  by  the  entire  company.,company,0.0,neutral
204,This  has  efficiently  improved,,0.0,neutral
205,"among  team  members,",team members,0.0,neutral
206,"especially  given  the  COVID  situation,  where  everyone  has  to  work  from  home",situation work home,0.0,neutral
207,and  collaborate  remotely.,,-0.1,negative
208,Since  we  are  not  able,,-0.25,negative
209,"and  have  our  quarterly  meeting,  Cisco",meeting,0.0,neutral
210,has  been  playing  a  vital  role,role,0.1,positive
211,in  ensuring  these  important  big,,0.2,positive
212,"meetings  are  held  as  scheduled,  which",meetings,0.0,neutral
213,in  turn  helps  maintain  corporate  business  operations.,turn operations,0.0,neutral
214,Cisco Webex Meetings:,meetings,0.0,neutral
215,An easy and secure option.,option,0.417,positive
216,the  entire  institution,institution,0.0,neutral
217,and  all  departments,departments,0.0,neutral
218,"for  meetings,  conferences,  and  clinical  activities.",meetings activities,0.0,neutral
219,"conferencing  opportunities,",opportunities,0.0,neutral
220,"team  meetings,  and  consultations",meetings consultations,0.0,neutral
221,within  the  institution,institution,0.0,neutral
222,It  is  the  preferred  method  of  communication  chosen  by,communication,0.0,neutral
223,and  it  is  integrated  into  our  business,business,0.0,neutral
224,Easy and Secure Meetings.,meetings,0.417,positive
225,Secure and Best in quality.,quality,0.55,positive
226,is  used  for  day-to-day  core  business,day,0.0,neutral
227,conducted  with  the  subsidiaries/clients,subsidiaries clients,0.0,neutral
228,"with  meetings  and  video  conferencing,",meetings conferencing,0.0,neutral
229,presentation  sharing.,presentation,0.0,neutral
230,The  biggest  advantage  is  that  you  can  be  assured  of,advantage,0.0,neutral
231,"a  consistent,  reliable,",,0.25,positive
232,"cost  effective,  and  secure",cost,0.5,positive
233,Business Continuity with Webex Meetings.,continuity meetings,0.0,neutral
234,Webex  Meetings  is  the  #1  global  conferencing  solution,meetings solution,0.0,neutral
235,"for  internal  and  external  audio,  video",video,0.0,neutral
236,sharing  for  smaller,,-0.25,negative
237,Teams  to  Townhall  Meetings.,teams meetings,0.0,neutral
238,Starting  with  an  on  Prem,prem,0.0,neutral
239,using  it  now  as  a  cloud  service.,service,0.0,neutral
240,In  the  days  of  COVID-19,days covid-19,0.0,neutral
241,a  reliable  video  solution,solution,0.0,neutral
242,for  working  from  home,home,0.0,neutral
243,even  more  important.,,0.4,positive
244,"The solution for every meeting everywhere (at home, at company or on a trip).",solution meeting home company trip,0.0,neutral
245,Webex  is  used  in  2-way,2-way,0.0,neutral
246,meetings  with  other  companies,meetings companies,0.0,neutral
247,to  extend  our  collaboration.,collaboration,0.0,neutral
248,across  the  whole  organisation,organisation,0.2,positive
249,to  allow  every  user  to  benefit  of  the  power  of  Webex.,user benefit power,0.0,neutral
250,Cisco  Webex  Meetings  resolve  the  problem  of  computer,meetings problem computer,0.0,neutral
251,compatibility  and  network,compatibility network,0.0,neutral
252,"""It s"",  used  across",,0.0,neutral
253,and  it  allows  users  to  quickly,users,0.333,positive
254,without  wasting  travel,travel,-0.2,negative
255,"Most  important  is  app,",app,0.4,positive
256,you  can  use  it  anywhere,,0.0,neutral
257,allowing  us  to  work  from  anywhere.,work,0.0,neutral
258,use  case  for  Webex,case,0.0,neutral
259,",  it  helps  to  share  docs",share,0.0,neutral
260,and  work  in  collaboration,collaboration,0.0,neutral
261,with  our  customers.,customers,0.0,neutral
262,our  IT  department  heavily,department,-0.2,negative
263,to  support  many  of,support,0.5,positive
264,the  other  teams  and  business,teams business,0.0,neutral
265,We  also  use  it  to  support,support,0.0,neutral
266,our  International  staff,staff,0.0,neutral
267,and  connect  with  vendors  on  weekly  meetings,vendors meetings,0.0,neutral
268,having  on  site  meetings.,site meetings,0.0,neutral
269,we  normally  would  have,,0.15,positive
270,spend  going  to  in-person,person,0.0,neutral
271,of  attending  a  meeting  from  their  desk.,meeting desk,0.0,neutral
272,A high-quality product but our company chose to go another way....,product company,0.0,neutral
273,when  working  with  support  desks  outside  of,support desks,0.0,neutral
274,assisting  me  with  issues.,issues,0.0,neutral
275,"We  have  tried  various  solutions  in-house,  including  Zoom,",solutions house zoom,0.0,neutral
276,"Go  To  Meeting,  and",meeting,0.0,neutral
277,but  our  company  has,company,0.0,neutral
278,recently  moved  to  using  Microsoft  Teams.,teams,0.0,neutral
279,"Positive, Secured Platform for Collaboration.",platform collaboration,0.227,positive
280,We  utilize  it  as  a  trusted,,0.0,neutral
281,for  web  conferencing  when  dealing  with  external  agencies.,web conferencing agencies,0.0,neutral
282,We  have  our  own  in-house,house,0.0,neutral
283,for  inter-business  unit,unit,0.0,neutral
284,"needs,  however  when  dealing  with  external  partners,",needs partners,0.0,neutral
285,Cisco  Webex  is  the  go-to.,to,0.0,neutral
286,Best Conference Solution for Businesses.,solution businesses,1.0,positive
287,Webex  is  being  used  as  primary,primary,0.4,positive
288,across  the  organization,organization,0.0,neutral
289,as  well  as  for  meetings,meetings,0.0,neutral
290,with  our  customers.,customers,0.0,neutral
291,to  interact  among  our  internal  teams  and  customers  without  needing  to  travel.,teams customers travel,0.0,neutral
292,Webex  is  used  by  whole  organization.,organization,0.2,positive
293,"and  expense  of  travel,",expense travel,0.0,neutral
294,"calling,  collaboration  between  team",collaboration team,0.0,neutral
295,with  physical  distancing.,distancing,0.0,neutral
296,Cisco Webex Meetings Review.,,0.0,neutral
297,We  use  it  for  business.,business,0.0,neutral
298,Specifically  for  day-to-day  operations  and  meeting/socializing.,day socializing,0.0,neutral
299,during  the  current  pandemic.,pandemic,0.0,neutral
300,"For  education,  we  use  it  to  move  to  distance  learning.",education learning,0.0,neutral
301,during  the  current  pandemic.,pandemic,0.0,neutral
302,Great for meetings and technical support.,meetings support,0.4,positive
303,with  our  B2B  clients.,clients,0.0,neutral
304,"That  reduces  the  cost  of  going  to  the ""client s"",  office",cost client office,0.0,neutral
305,more  productive  sales  force.,force,0.0,neutral
306,Cisco Webex as a web meeting but not as Microsoft Teams.,meeting teams,0.0,neutral
307,to  participate  in  meetings  with  other  employees  and,meetings employees,0.0,neutral
308,external  collaborators,collaborators,0.0,neutral
309,"that  are  meant  to  be  done  internally,  and",,-0.156,negative
310,now  there  is  an  urgent  need,need,0.0,neutral
311,to  do  the  same  with  teleworking.,teleworking,0.0,neutral
312,Because  of  the  Covid-19,covid-19,0.0,neutral
313,"need  for  video  conference,  online",conference,0.0,neutral
314,meetings  and  webinars.,meetings webinars,0.0,neutral
315,Safe Video Conferencing with Cisco Webex.,conferencing,0.5,positive
316,"but  users ""couldn t"",  use  this  tool",users tool,0.0,neutral
317,did  not  have  the  culture  of  using  video  conferencing.,culture conferencing,0.0,neutral
318,"With  the  events  of  Covid-19,  users  realized  that",events users,0.0,neutral
319,they  can  discuss  quickly,,0.333,positive
320,and  started  using  Webex.,,0.0,neutral
321,"Currently,  Webex  is  used  on  average  between  18-22",,-0.075,negative
322,and  is  gradually  increasing.,,0.0,neutral
323,features  such  as  recording  and  webinar.,features recording webinar,0.0,neutral
324,The  whole  organization  uses  it  to  help  discuss  problems  with  customers.,organization problems customers,0.2,positive
325,It  provides  synchronous  capabilities  for  distance  learning,capabilities distance,0.0,neutral
326,Cisco Webex Meetings Review.,,0.0,neutral
327,the  whole  organization,organization,0.2,positive
328,"We  use  it  for  meetings  and  remote  collaboration,  especially  sharing  content  in  meetings.",meetings collaboration content meetings,-0.05,negative
329,My Cisco Webex Meetings Review.,,0.0,neutral
330,training  with  clients,training clients,0.0,neutral
331,The  connection  and  clarity  are  very  good.,connection clarity,0.7,positive
332,also  used  across  all  departments.,departments,0.0,neutral
333,Cisco Webex Meetings review.,,0.0,neutral
334,as  the  default  web,web,0.0,neutral
335,application  across  the  entire  organization.,application organization,0.0,neutral
336,"It  is  primarily  used  for  meetings  with  2-25  users,  but",meetings users,0.4,positive
337,will  do  some  occasional,,0.0,neutral
338,training  or  collaboration,training collaboration,0.0,neutral
339,with  larger  audiences.,audiences,0.214,positive
340,for  simple  conference  calls  as  well,conference,0.0,neutral
341,as  screen  share  collaboration/presentation  meetings,screen,0.0,neutral
342,and  outside  of  our  organization.,organization,0.0,neutral
343,It  solves  the  problem  of  communicating  with  others,problem others,-0.125,negative
344,the  ability  to  work,ability work,0.0,neutral
345,with  our  partners  outside,partners,0.0,neutral
346,of  our  organization.,organization,0.0,neutral
347,The Best Meeting Tool for Small Groups!.,tool groups,0.375,positive
348,"At  Austin  Community  College,  we  typically  use  Webex  Meetings",college meetings,-0.167,negative
349,for  various  meetings.,meetings,0.0,neutral
350,We  use  it  to  have  virtual,virtual,0.0,neutral
351,"appointments  with  students,  as  well  as",appointments students,0.0,neutral
352,meetings  among  staff  and  faculty.,meetings staff faculty,0.0,neutral
353,also  used  to  view  our  monthly  advising  forums  from  advisors,view forums advisors,0.0,neutral
354,that  cannot  meet  at  the  specific  campus,campus,0.0,neutral
355,Technology that overcomes barriers!.,technology barriers,0.0,neutral
356,"conferencias,  exposiciones",,0.0,neutral
357,comunicados  de  valor,valor,0.0,neutral
358,es  una  herramienta  que,,0.0,neutral
359,"we  often  use  Webex  for  conferences,",conferences,0.0,neutral
360,"exhibits,  and  exams",exhibits exams,0.0,neutral
361,as  a  means  of  sharing  information  between  different,information,-0.156,negative
362,and  generating  valuable  communication  for  all  stakeholders!,communication stakeholders,0.0,neutral
363,used  very  frequently,,0.1,positive
364,as  it  allows  us  to  update,update,0.0,neutral
365,and  share  information,information,0.0,neutral
366,Solid product speed up you troubleshooting sessions..,product sessions,0.0,neutral
367,is  used  by  senior  execs,execs,0.0,neutral
368,for  troubleshooting  and  demos.,demos,0.0,neutral
369,The  most  quarterly  meeting  also  has,meeting,0.0,neutral
370,a  Webex  associated  with  them,,0.0,neutral
371,where  we  go  over  numbers  for  the  quarter,numbers quarter,0.0,neutral
372,They  are  often  recorded  and  archived,,0.0,neutral
373,for  those  who  cannot  attend  live.,,0.136,positive
374,A journey into a cognitive collaboration experience.,journey experience,0.0,neutral
375,"At  Greif,  Cisco  Webex  Meetings  is  the  one-stop  solution",meetings solution,0.0,neutral
376,"for  all  of  our  conferencing  needs,  used  for  sharing  presentations,",needs presentations,0.0,neutral
377,well  as  the  integration  of  60+,integration +,0.0,neutral
378,that  integrate  with  the  collaboration  room,room,0.0,neutral
379,option  added  the  experience.,option experience,0.0,neutral
380,"updates,  or  project",updates project,0.0,neutral
381,",  they  all  get  done  in  one",,0.0,neutral
382,experience  and  environment.,experience environment,0.0,neutral
383,an  ambitious  upgrade  path,path,0.25,positive
384,"where  we  replace,  upgrade,  and",,0.0,neutral
385,"exciting  project,  opening  the  doors",project doors,0.15,positive
386,the  upcoming  enhancements  Cisco,enhancements,0.0,neutral
387,This  is  our  standard  meeting,meeting,0.0,neutral
388,"for  customer  meetings,  demonstrations,  and  collaboration.",meetings demonstrations collaboration,0.0,neutral
389,Webex - a solid solution for online meetings.,solution meetings,0.0,neutral
390,We  use  Webex  both  for  meetings,meetings,0.0,neutral
391,"""It s"",  easy  to  use  and  set  up,  and  has  a  great",,0.617,positive
392,Cisco Webex Meetings Review.,,0.0,neutral
393,when  we  implement  all,,0.0,neutral
394,we  started  to  work,work,0.0,neutral
395,to  communicate  between  many  parties,parties,0.5,positive
396,from  different  locations,locations,0.0,neutral
397,usually  used  by  top  management  traveling,management,0.125,positive
398,communication  between,communication,0.0,neutral
399,each  other Webex Meetings offers the best experience.,meetings experience,0.7,positive
400,"throughout  my  organization,  optimizing  the  issue  of  needing  to  instantly",organization issue,0.0,neutral
401,meet  with  customers.,customers,0.0,neutral
402,Simple and high-quality communication tool.,tool,0.0,neutral
403,Webex  Meetings  is  widely  used  within  our  organization.,meetings organization,-0.1,negative
404,It  is  a  simple  platform,platform,0.0,neutral
405,that  offers  a  great  experience,experience,0.8,positive
406,As  a  marketing  department  we  use  it  most  of  the  time  to  remotely  interview,department interview,-0.1,negative
407,who  are  applying  for  internships,internships,0.0,neutral
408,Webex  Meetings  is  the  best  communication,meetings communication,0.7,positive
409,means  to  facilitate  the  interviews.,interviews,-0.312,negative
410,The  video  and  audio  are,video,0.0,neutral
411,and  make  us  satisfied,,0.5,positive
412,while  using  the  platform.,platform,0.0,neutral
413,Let’s Meet with Cisco WebEx Meetings!.,meetings,0.0,neutral
414,is  used  by  my  organization,organization,0.0,neutral
415,through  the  carrier,carrier,0.0,neutral
416,When  they  have  webinars,webinars,0.0,neutral
417,"their  products,  this  is  one  of  the  platforms",products platforms,0.0,neutral
418,It  allows  for  individuals,individuals,0.0,neutral
419,to  be  able  to  have  access  to,access,0.5,positive
420,"the  information  being  provided,",information,0.0,neutral
421,a  very  easy  platform  to  use.,platform use,0.433,positive
422,Good option but somewhat expensive.,option,0.1,positive
423,throughout  the  organization,organization,0.0,neutral
424,to  streamline  meetings  as  well  as  make  official,meetings,0.0,neutral
425,An effective collaboration tool.,tool,0.6,positive
426,across  the  entire  breadth,breadth,0.0,neutral
427,"It  is  used  for  anything  from  small,",,-0.25,negative
428,"2-3  person  meetings,  up  to  departmental  meetings",meetings meetings,0.0,neutral
429,involving  dozens  of  team  members.,dozens members,0.0,neutral
430,It  allows  us  to  have  a  single  place,place,-0.071,negative
431,"to  meet  online,  across  multiple  sites,  using  both  video  and  audio.",sites video audio,0.0,neutral
432,Cisco Webex Is The Best In Its Field Without Doubt.,field doubt,1.0,positive
433,"As  Ford  Motor  Company,  along",company,0.0,neutral
434,(Joint  Ventures  like  Ford,ventures,0.0,neutral
435,"Otosan  and  Ford  Sollers),",sollers,0.0,neutral
436,and  employees  are  Cisco,employees,0.0,neutral
437,We  connect  it  via  Ford.webex.com,,0.0,neutral
438,and  invite  all  our  associates,associates,0.0,neutral
439,like  suppliers  and  dealers,suppliers dealers,0.0,neutral
440,"Honestly  speaking,  it  is  the  primary  source  of  running",source,0.5,positive
441,whether  in  premises  or  across  the  other  locations  involved.,premises locations,0.0,neutral
442,"In  the  meantime,  thanks  to",meantime,0.0,neutral
443,"(via  videocall,  audio,  mobile,  call  me",videocall,0.0,neutral
444,and  so  on)  that  makes  the  life,life,0.0,neutral
445,Webex Meetings - Easy to Use for Global Organizations.,meetings organizations,0.217,positive
446,our  entire  organization,organization,0.0,neutral
447,"meeting  our  clients,  in  the  absence  of  on-site  visits.",clients absence site,-0.013,negative
448,since  our  team  is  scattered  globally.,team,0.0,neutral
449,It  makes  it  easier,,0.433,positive
450,"in  support  of  our ""clients "",  needs.",support clients,0.0,neutral
451,Let's meet via Webex!.,,0.0,neutral
452,currently  using  Webex  Meetings,meetings,0.0,neutral
453,across  the  whole  organization.,organization,0.2,positive
454,"On  the  whole,  Webex  gives  us",whole,0.2,positive
455,for  all  of  our  users,users,0.0,neutral
456,to  be  able  to  participate,,0.5,positive
457,in  or  out  of  the  office.,office,0.0,neutral
458,"Many  of  our  staff  are  mobile,  so",staff,0.5,positive
459,Cisco Webex makes your life easy as an IT Engineer.,life engineer,0.433,positive
460,themeswith  our  partners.,partners,0.0,neutral
461,Traveling  in  Venezuela  is  difficult  at  this  time,,-0.5,negative
462,"The  interface  is  simply  wonderful,  3",interface,1.0,positive
463,and  you  areall  done.,,0.0,neutral
464,"For  us,  Webex  has  been  a  powerful  tool",tool,0.3,positive
465,resolution  becauseengineers,becauseengineers,0.0,neutral
466,can  get  into  our  platform,platform,0.0,neutral
467,to  configure  things,things,0.0,neutral
468,Cisco Rocks in Unified Communications.,communications,0.0,neutral
469,have  been  using  Cisco,,0.0,neutral
470,to  have  meetings  with  different  vendors,meetings vendors,0.0,neutral
471,with  voice/video  &  content  sharing.,sharing,0.0,neutral
472,Collaboration made easy with Cisco Webex (and Webex Board S55).,collaboration,0.433,positive
